expression,original_order,source,reviewed_as,difficulty,commonality,added,confidence
part and parcel of something,1297,user_list,binomial phrase,medium,less_common,no,medium
rain on somebody's parade,1298,user_list,fixed expression,medium,common,no,medium
say your piece,1299,user_list,fixed expression,medium,common,no,medium
sell somebody/yourself short,1300,user_list,fixed expression,medium,common,no,medium
somebody can take it or leave it,1301,user_list,fixed expression,medium,less_common,no,low
stick to your guns,1302,user_list,fixed expression,medium,common,no,medium
the kiss of life,1303,user_list,fixed expression,medium,common,no,medium
with your eyes open,1304,user_list,fixed/prepositional phrase,medium,common,no,high
be dead and gone,1305,user_list,binomial phrase,medium,common,no,medium
get/turn nasty,1306,user_list,fixed expression,medium,common,no,medium
give somebody/get the push,1307,user_list,fixed expression,medium,common,no,medium
hear/see the last of somebody/something,1308,user_list,fixed expression,medium,less_common,no,medium
in the hope of something,1309,user_list,fixed expression,medium,less_common,no,medium
in view of something,1310,user_list,fixed expression,medium,common,no,medium
in your eighties,1311,user_list,fixed/prepositional phrase,easy,very_common,no,high
nothing if not,1312,user_list,fixed expression,medium,common,no,medium
on the flat,1313,user_list,fixed/prepositional phrase,easy,very_common,no,high
sick to your stomach,1314,user_list,idiom,hard,common,no,medium
slip your mind,1315,user_list,idiom,hard,common,no,medium
step out of line,1316,user_list,multi-word verb,medium,less_common,no,medium
stretch your legs,1317,user_list,idiom,hard,common,no,medium
take something as it comes,1318,user_list,multi-word verb,medium,less_common,no,medium
take something on the chin,1319,user_list,multi-word verb,medium,less_common,no,medium
the apple of somebody's eye,1320,user_list,idiom,hard,common,no,medium
the other way round,1321,user_list,fixed expression,medium,common,no,medium
throw somebody/something overboard,1322,user_list,fixed expression,medium,common,no,medium
be miles away,1323,user_list,idiom,hard,common,no,medium
be no/nobody's fool,1324,user_list,fixed expression,medium,common,no,medium
give somebody the finger,1325,user_list,idiom,hard,common,no,medium
God rest his/her soul,1326,user_list,fixed expression,medium,common,no,medium
make the grade,1327,user_list,fixed expression,medium,common,no,medium
on a silver platter,1328,user_list,fixed/prepositional phrase,medium,common,no,high
on the button,1329,user_list,fixed/prepositional phrase,easy,very_common,no,high
out of thin air,1330,user_list,fixed/prepositional phrase,medium,common,no,high
out of whack,1331,user_list,fixed/prepositional phrase,easy,very_common,no,high
spill the beans,1332,user_list,idiom,medium,very_common,no,high
talk your way out of something/of doing something,1333,user_list,fixed expression,medium,less_common,no,low
the birds and the bees,1334,user_list,binomial phrase,medium,less_common,no,medium
think nothing of something/of doing something,1335,user_list,fixed expression,medium,less_common,no,low
too right,1336,user_list,fixed expression,medium,common,no,medium
wet yourself,1337,user_list,fixed expression,medium,common,no,medium
which is which,1338,user_list,fixed expression,medium,common,no,medium
Would you care for something?,1339,user_list,formula/discourse,medium,common,no,high
your wish is my command,1340,user_list,fixed expression,medium,less_common,no,medium
give somebody a shout,1341,user_list,fixed expression,medium,common,no,medium
give something a whirl,1342,user_list,fixed expression,medium,common,no,medium
go/turn sour,1343,user_list,fixed expression,medium,common,no,medium
have your hands full,1344,user_list,idiom,hard,common,no,medium
in one go,1345,user_list,fixed/prepositional phrase,easy,very_common,no,high
kiss and tell,1346,user_list,binomial phrase,medium,common,no,medium
lay it on the line,1347,user_list,idiom,hard,common,no,medium
let loose something,1348,user_list,formula/discourse,easy,very_common,no,high
music to your ears,1349,user_list,idiom,hard,common,no,medium
of your own accord,1350,user_list,fixed/prepositional phrase,medium,common,no,high
open your/somebody's mind to something,1351,user_list,idiom,hard,common,no,medium
put two and two together,1352,user_list,binomial phrase,medium,less_common,no,medium
see stars,1353,user_list,fixed expression,medium,common,no,medium
the sky's the limit,1354,user_list,fixed expression,medium,common,no,medium
ahead of/behind the curve,1355,user_list,fixed expression,medium,common,no,medium
hang by a hair/thread,1356,user_list,multi-word verb,medium,less_common,no,medium
in a pickle,1357,user_list,fixed/prepositional phrase,easy,very_common,no,high
in full swing,1358,user_list,fixed/prepositional phrase,easy,very_common,no,high
in honour of somebody/something,1359,user_list,fixed expression,medium,common,no,medium
in large part,1360,user_list,fixed/prepositional phrase,easy,very_common,no,high
make somebody's acquaintance,1361,user_list,fixed expression,medium,common,no,medium
make the first move,1362,user_list,fixed expression,medium,common,no,medium
mind over matter,1363,user_list,multi-word verb,medium,less_common,no,medium
mind/watch your language,1364,user_list,fixed expression,medium,common,no,medium
on the back burner,1365,user_list,fixed/prepositional phrase,medium,common,no,high
shoot yourself in the foot,1366,user_list,idiom,hard,common,no,medium
speak/think ill of somebody,1367,user_list,fixed expression,medium,common,no,medium
take/plead the fifth,1368,user_list,fixed expression,medium,common,no,medium
the joke's on somebody,1369,user_list,fixed expression,medium,common,no,medium
the rest is history,1370,user_list,fixed expression,medium,common,no,medium
the turn of the century/year,1371,user_list,fixed expression,medium,less_common,no,medium
to/until the bitter end,1372,user_list,fixed expression,medium,common,no,medium
without exception,1373,user_list,fixed/prepositional phrase,hard,rare,no,high
go no further,1374,user_list,fixed expression,medium,common,no,medium
good works,1375,user_list,fixed expression,medium,common,no,medium
have enough/a lot/too much on your plate,1376,user_list,idiom,hard,less_common,no,medium
in a manner of speaking,1377,user_list,fixed expression,medium,less_common,no,medium
in the pipeline,1378,user_list,fixed/prepositional phrase,easy,very_common,no,high
no dice,1379,user_list,fixed expression,medium,common,no,medium
no harm done,1380,user_list,fixed expression,medium,common,no,medium
play your cards right,1381,user_list,idiom,hard,common,no,medium
put a price on something,1382,user_list,fixed expression,medium,less_common,no,medium
put our/your/their heads together,1383,user_list,fixed expression,medium,common,no,medium
put somebody/something to shame,1384,user_list,fixed expression,medium,common,no,medium
right and left,1385,user_list,binomial phrase,medium,common,no,medium
run amok,1386,user_list,fixed expression,medium,common,no,medium
short and sweet,1387,user_list,binomial phrase,medium,common,no,medium
sock it to somebody,1388,user_list,fixed expression,medium,common,no,medium
walk/tread a fine/thin line,1389,user_list,idiom,hard,common,no,medium
what of it?,1390,user_list,sentence frame/pattern,medium,common,no,low
what's his/her face,1391,user_list,idiom,hard,common,no,medium
get/set/start/keep the ball rolling,1392,user_list,idiom,hard,common,no,medium
have/want it both ways,1393,user_list,fixed expression,medium,common,no,medium
in earnest,1394,user_list,fixed/prepositional phrase,easy,very_common,no,high
in tatters,1395,user_list,fixed/prepositional phrase,easy,very_common,no,high
in the lap of luxury,1396,user_list,fixed expression,medium,less_common,no,medium
it's a free country,1397,user_list,fixed expression,medium,common,no,medium
keep your hand in,1398,user_list,idiom,hard,common,no,medium
none but,1399,user_list,fixed expression,medium,common,no,medium
not a penny,1400,user_list,fixed expression,medium,common,no,medium
on the rack,1401,user_list,fixed/prepositional phrase,easy,very_common,no,high
pick a lock,1402,user_list,fixed expression,medium,common,no,medium
set up shop,1403,user_list,multi-word verb,medium,common,no,medium
show your hand/cards,1404,user_list,fixed expression,medium,common,no,medium
sooner rather than later,1405,user_list,fixed expression,medium,common,no,medium
speak/talk the same language,1406,user_list,fixed expression,medium,common,no,medium
tell its own tale/story,1407,user_list,formula/discourse,easy,very_common,no,high
the lion's den,1408,user_list,fixed expression,medium,common,no,medium
twist somebody's arm,1409,user_list,idiom,hard,common,no,medium
worth your/its salt,1410,user_list,fixed expression,medium,common,no,medium
be dying for something/to do something,1411,user_list,fixed expression,medium,less_common,no,low
go ape/apeshit,1412,user_list,fixed expression,hard,rare,no,medium
go far enough,1413,user_list,fixed expression,medium,common,no,medium
have teeth,1414,user_list,idiom,hard,common,no,medium
have your work cut out,1415,user_list,fixed expression,medium,less_common,no,medium
in any event,1416,user_list,fixed/prepositional phrase,easy,very_common,no,high
in rags,1417,user_list,fixed/prepositional phrase,easy,very_common,no,high
in so/as far as,1418,user_list,fixed/prepositional phrase,medium,common,no,high
in the final/last analysis,1419,user_list,fixed/prepositional phrase,medium,common,no,high
leave a bad/nasty taste in the mouth,1420,user_list,fixed expression,medium,less_common,no,low
near enough,1421,user_list,fixed expression,medium,common,no,medium
never say die,1422,user_list,fixed expression,medium,common,no,medium
play with yourself,1423,user_list,multi-word verb,medium,less_common,no,medium
put somebody through it,1424,user_list,multi-word verb,medium,less_common,no,medium
put yourself in somebody else's/somebody's place,1425,user_list,multi-word verb,medium,less_common,no,medium
shut/slam the door in somebody's face,1426,user_list,idiom,hard,less_common,no,medium
stick in your mind,1427,user_list,idiom,hard,common,no,medium
stick in your throat/craw,1428,user_list,fixed expression,medium,common,no,medium
take a/the hint,1429,user_list,fixed expression,medium,common,no,medium
take one for the team,1430,user_list,fixed expression,medium,less_common,no,medium
the calm before the storm,1431,user_list,idiom,hard,common,no,medium
the elephant in the room,1432,user_list,idiom,medium,very_common,no,high
wash your hands of somebody/something,1433,user_list,idiom,hard,common,no,medium
with a vengeance,1434,user_list,fixed/prepositional phrase,easy,very_common,no,high
be no/a stranger to something,1435,user_list,fixed expression,medium,less_common,no,medium
dressed to kill,1436,user_list,fixed expression,medium,common,no,medium
go by the name of...,1437,user_list,sentence frame/pattern,medium,common,no,low
go to earth/ground,1438,user_list,multi-word verb,medium,common,no,medium
go to the country,1439,user_list,multi-word verb,medium,less_common,no,medium
in more ways than one,1440,user_list,fixed expression,medium,less_common,no,medium
in the line of duty,1441,user_list,fixed expression,medium,less_common,no,medium
in/out of play,1442,user_list,fixed expression,medium,common,no,medium
lick your wounds,1443,user_list,fixed expression,medium,common,no,medium
more to the point,1444,user_list,fixed expression,medium,common,no,medium
on the blink,1445,user_list,fixed/prepositional phrase,easy,very_common,no,high
on the quiet,1446,user_list,fixed/prepositional phrase,easy,very_common,no,high
on the strength of something,1447,user_list,fixed expression,medium,less_common,no,medium
rest/sit on your laurels,1448,user_list,fixed expression,medium,common,no,medium
Rome wasn't built in a day,1449,user_list,fixed expression,medium,less_common,no,low
run high,1450,user_list,fixed expression,medium,common,no,medium
set your sights on something/on doing something,1451,user_list,fixed expression,medium,less_common,no,low
take something/somebody by storm,1452,user_list,idiom,hard,common,no,medium
the more the merrier,1453,user_list,fixed expression,medium,common,no,medium
the world is your oyster,1454,user_list,idiom,hard,common,no,medium
wear and tear,1455,user_list,binomial phrase,medium,common,no,medium
get your money's worth,1456,user_list,fixed expression,medium,common,no,medium
get/havea/your foot in the door,1457,user_list,idiom,hard,common,no,medium
go to pieces,1458,user_list,multi-word verb,medium,common,no,medium
have a cow,1459,user_list,idiom,hard,common,no,medium
high as a kite,1460,user_list,fixed expression,medium,common,no,medium
hit the ceiling/roof,1461,user_list,fixed expression,medium,common,no,medium
hold your head high,1462,user_list,formula/discourse,easy,very_common,no,high
in the region of,1463,user_list,fixed/prepositional phrase,medium,common,no,high
kill two birds with one stone,1464,user_list,idiom,medium,very_common,no,high
let it all hang out,1465,user_list,formula/discourse,medium,common,no,high
my lips are sealed,1466,user_list,idiom,hard,common,no,medium
not in the least,1467,user_list,fixed expression,medium,common,no,medium
on that/this score,1468,user_list,fixed/prepositional phrase,easy,very_common,no,high
on the nail,1469,user_list,fixed/prepositional phrase,easy,very_common,no,high
on the safe side,1470,user_list,fixed/prepositional phrase,medium,common,no,high
on topic,1471,user_list,fixed/prepositional phrase,easy,very_common,no,high
on/off message,1472,user_list,fixed expression,medium,common,no,medium
pull your weight,1473,user_list,idiom,medium,very_common,no,high
put it to somebody that...,1474,user_list,sentence frame/pattern,medium,common,no,low
put your best foot forward,1475,user_list,idiom,hard,common,no,medium
rob somebody blind,1476,user_list,fixed expression,medium,common,no,medium
somebody's good/evil genius,1477,user_list,fixed expression,medium,common,no,medium
what goes around comes around,1478,user_list,proverb/saying,medium,very_common,no,high
at/on somebody's suggestion,1479,user_list,fixed expression,medium,common,no,medium
bang for your buck,1480,user_list,fixed expression,medium,common,no,medium
grit your teeth,1481,user_list,idiom,hard,common,no,medium
hang tough,1482,user_list,fixed expression,medium,common,no,medium
head first,1483,user_list,idiom,hard,common,no,medium
huff and puff,1484,user_list,binomial phrase,medium,common,no,medium
in opposition to somebody/something,1485,user_list,fixed expression,medium,common,no,medium
in reserve,1486,user_list,fixed/prepositional phrase,easy,very_common,no,high
in the grip of something,1487,user_list,fixed expression,medium,less_common,no,medium
look/feel like a million dollars/bucks,1488,user_list,fixed expression,medium,less_common,no,medium
neck of the woods,1489,user_list,idiom,hard,common,no,medium
on the cheap,1490,user_list,fixed/prepositional phrase,easy,very_common,no,high
out of season,1491,user_list,fixed/prepositional phrase,easy,very_common,no,high
out of sync,1492,user_list,fixed/prepositional phrase,easy,very_common,no,high
over the counter,1493,user_list,fixed/prepositional phrase,easy,very_common,no,high
soften/cushion the blow,1494,user_list,fixed expression,medium,common,no,medium
to little/no avail,1495,user_list,fixed/prepositional phrase,easy,very_common,no,high
under one roof,1496,user_list,fixed/prepositional phrase,easy,very_common,no,high
under the weather,1497,user_list,idiom,medium,very_common,no,high
ways and means,1498,user_list,binomial phrase,medium,common,no,medium
work/perform miracles,1499,user_list,fixed expression,medium,common,no,medium
be seeing/hearing things,1500,user_list,fixed expression,medium,common,no,medium
have it in for somebody,1501,user_list,multi-word verb,medium,less_common,no,medium
have your cake and eat it,1502,user_list,binomial phrase,medium,less_common,no,medium
I dare say,1503,user_list,formula/discourse,easy,very_common,no,high
in the nature of something,1504,user_list,fixed expression,medium,less_common,no,medium
keep quiet about something,1505,user_list,fixed expression,medium,common,no,medium
life after death,1506,user_list,fixed expression,medium,common,no,medium
lose the plot,1507,user_list,fixed expression,medium,common,no,medium
mix and match,1508,user_list,binomial phrase,medium,common,no,medium
nice work if you can get it,1509,user_list,fixed expression,medium,less_common,no,low
not so/too hot,1510,user_list,idiom,hard,common,no,medium
of a certain age,1511,user_list,fixed/prepositional phrase,medium,common,no,high
on your tod,1512,user_list,fixed/prepositional phrase,easy,very_common,no,high
only have eyes for/have eyes only for somebody,1513,user_list,idiom,hard,less_common,no,medium
put/stick the knife in,1514,user_list,idiom,hard,common,no,medium
raise a/your hand against/to somebody,1515,user_list,idiom,hard,common,no,medium
shoot from the hip,1516,user_list,fixed expression,medium,common,no,medium
somebody's back is turned,1517,user_list,idiom,hard,common,no,medium
steal somebody's thunder,1518,user_list,fixed expression,medium,common,no,medium
strike a bargain/deal,1519,user_list,fixed expression,medium,common,no,medium
take something from the top,1520,user_list,multi-word verb,medium,less_common,no,medium
to cap/top it all,1521,user_list,fixed/prepositional phrase,medium,common,no,high
to top/cap it all,1522,user_list,fixed/prepositional phrase,medium,common,no,high
toe the line,1523,user_list,idiom,hard,common,no,medium
tried and tested/trusted,1524,user_list,binomial phrase,medium,common,no,medium
watch the clock,1525,user_list,formula/discourse,easy,very_common,no,high
work wonders,1526,user_list,fixed expression,medium,common,no,medium
be riding high,1527,user_list,fixed expression,medium,common,no,medium
hang on somebody's words/on somebody's every word,1528,user_list,multi-word verb,medium,less_common,no,medium
heavy hand,1529,user_list,idiom,hard,common,no,medium
history repeats itself,1530,user_list,fixed expression,medium,common,no,medium
in perpetuity,1531,user_list,fixed/prepositional phrase,easy,very_common,no,high
make much of something/somebody,1532,user_list,fixed expression,medium,common,no,medium
not for nothing,1533,user_list,fixed expression,medium,common,no,medium
not half as,1534,user_list,fixed expression,medium,common,no,medium
nothing of the kind/sort,1535,user_list,fixed expression,medium,common,no,medium
on manual,1536,user_list,fixed/prepositional phrase,easy,very_common,no,high
on the edge of your seat,1537,user_list,fixed expression,medium,less_common,no,low
on the march,1538,user_list,fixed/prepositional phrase,easy,very_common,no,high
once in a blue moon,1539,user_list,idiom,medium,very_common,no,high
out of harm's way,1540,user_list,fixed/prepositional phrase,medium,common,no,high
play hooky,1541,user_list,fixed expression,medium,common,no,medium
play it by ear,1542,user_list,multi-word verb,medium,less_common,no,medium
she's sweet,1543,user_list,fixed expression,medium,common,no,medium
speak/talk out of turn,1544,user_list,fixed expression,medium,common,no,medium
such as it is/they are,1545,user_list,fixed expression,medium,less_common,no,medium
thank your lucky stars,1546,user_list,fixed expression,medium,common,no,medium
that's about all,1547,user_list,fixed expression,medium,common,no,medium
tighten your belt,1548,user_list,fixed expression,medium,common,no,medium
you can't be too careful,1549,user_list,formula/discourse,medium,common,no,high
for somebody's eyes only,1550,user_list,fixed expression,medium,common,no,medium
go to ground,1551,user_list,multi-word verb,medium,common,no,medium
half the battle,1552,user_list,fixed expression,medium,common,no,medium
heads or tails?,1553,user_list,formula/discourse,easy,very_common,no,high
I should hope so/not,1554,user_list,formula/discourse,easy,very_common,no,high
in mint condition,1555,user_list,fixed/prepositional phrase,easy,very_common,no,high
in rough,1556,user_list,fixed/prepositional phrase,easy,very_common,no,high
in the extreme,1557,user_list,fixed/prepositional phrase,easy,very_common,no,high
in the lap of the gods,1558,user_list,fixed expression,medium,less_common,no,low
it goes to show,1559,user_list,proverb/saying,hard,less_common,no,medium
keep your eye on the ball,1560,user_list,idiom,hard,less_common,no,medium
know somebody/something inside out,1561,user_list,fixed expression,medium,common,no,medium
many a time,1562,user_list,fixed expression,medium,common,no,medium
name names,1563,user_list,fixed expression,medium,common,no,medium
no shit!,1564,user_list,formula/discourse,hard,rare,no,high
of/in the order of something,1565,user_list,fixed expression,medium,less_common,no,medium
pick somebody's pocket,1566,user_list,fixed expression,medium,common,no,medium
pie in the sky,1567,user_list,idiom,hard,common,no,medium
push the boat out,1568,user_list,idiom,hard,common,no,medium
put your money on somebody/something,1569,user_list,fixed expression,medium,less_common,no,medium
right side up,1570,user_list,fixed expression,medium,common,no,medium
roll with the punches,1571,user_list,fixed expression,medium,common,no,medium
run the gauntlet,1572,user_list,fixed expression,hard,rare,no,medium
take something on board,1573,user_list,multi-word verb,medium,less_common,no,medium
take the plunge,1574,user_list,fixed expression,medium,common,no,medium
take time out,1575,user_list,fixed expression,medium,common,no,medium
the rules of the game,1576,user_list,fixed expression,medium,less_common,no,medium
too close for comfort,1577,user_list,fixed expression,medium,common,no,medium
what price...?,1578,user_list,sentence frame/pattern,medium,common,no,low
what's not to like?,1579,user_list,formula/discourse,easy,very_common,no,high
wring somebody's hand,1580,user_list,idiom,hard,common,no,medium
wring your hands,1581,user_list,idiom,hard,common,no,medium
go ballistic,1582,user_list,fixed expression,medium,common,no,medium
go haywire,1583,user_list,fixed expression,medium,common,no,medium
in conjunction with,1584,user_list,fixed/prepositional phrase,easy,very_common,no,high
in residence,1585,user_list,fixed/prepositional phrase,easy,very_common,no,high
in stitches,1586,user_list,fixed/prepositional phrase,easy,very_common,no,high
in/out of commission,1587,user_list,fixed expression,medium,common,no,medium
jump ship,1588,user_list,fixed expression,medium,common,no,medium
like nobody's business,1589,user_list,fixed expression,medium,common,no,medium
miss the boat,1590,user_list,idiom,medium,very_common,no,high
off base,1591,user_list,fixed expression,medium,common,no,medium
out of action,1592,user_list,fixed/prepositional phrase,easy,very_common,no,high
powder your nose,1593,user_list,idiom,hard,common,no,medium
put your hand in your pocket,1594,user_list,idiom,hard,less_common,no,medium
run somebody/something into the ground,1595,user_list,idiom,hard,common,no,medium
safety first,1596,user_list,fixed expression,medium,common,no,medium
same difference,1597,user_list,fixed expression,medium,common,no,medium
shiny new,1598,user_list,fixed expression,medium,common,no,medium
show somebody who's boss,1599,user_list,fixed expression,medium,common,no,medium
spring a leak,1600,user_list,fixed expression,medium,common,no,medium
take effect,1601,user_list,fixed expression,medium,common,no,medium
take your eye off the ball,1602,user_list,idiom,hard,less_common,no,medium
tear at your heart,1603,user_list,idiom,hard,common,no,medium
tell the time,1604,user_list,formula/discourse,easy,very_common,no,high
tempt fate/providence,1605,user_list,fixed expression,medium,common,no,medium
that's the ticket,1606,user_list,fixed expression,medium,common,no,medium
the facts of life,1607,user_list,fixed expression,medium,common,no,medium
the kiss of death,1608,user_list,fixed expression,medium,common,no,medium
the odd man/one out,1609,user_list,fixed expression,medium,common,no,medium
think on your feet,1610,user_list,idiom,hard,common,no,medium
throw your hand in,1611,user_list,idiom,hard,common,no,medium
wipe the slate clean,1612,user_list,fixed expression,medium,common,no,medium
you bet!,1613,user_list,formula/discourse,easy,very_common,no,high
give voice to something,1614,user_list,fixed expression,medium,common,no,medium
go round in circles,1615,user_list,multi-word verb,medium,less_common,no,medium
have a thing about somebody/something,1616,user_list,fixed expression,medium,less_common,no,medium
have come a long way,1617,user_list,fixed expression,medium,less_common,no,medium
have second thoughts,1618,user_list,fixed expression,hard,rare,no,medium
hit the ground running,1619,user_list,idiom,hard,common,no,medium
home is where the heart is,1620,user_list,proverb/saying,medium,very_common,no,high
in the market for something,1621,user_list,fixed expression,medium,less_common,no,medium
it's your funeral,1622,user_list,fixed expression,medium,common,no,medium
look who's talking,1623,user_list,fixed expression,medium,common,no,medium
not just yet,1624,user_list,fixed expression,medium,common,no,medium
off the rack,1625,user_list,fixed expression,medium,common,no,medium
on the cards,1626,user_list,fixed/prepositional phrase,easy,very_common,no,high
on the face of it,1627,user_list,fixed expression,medium,less_common,no,medium
pick up speed,1628,user_list,multi-word verb,medium,common,no,medium
point taken,1629,user_list,fixed expression,medium,common,no,medium
put a name to somebody/something,1630,user_list,fixed expression,medium,less_common,no,medium
rattle somebody's cage,1631,user_list,fixed expression,medium,common,no,medium
separate/sort out the men from the boys,1632,user_list,fixed expression,medium,less_common,no,low
stop short,1633,user_list,fixed expression,medium,common,no,medium
take the helm,1634,user_list,fixed expression,medium,common,no,medium
the only game in town,1635,user_list,fixed expression,medium,less_common,no,medium
the only thing is...,1636,user_list,sentence frame/pattern,medium,common,no,low
tick all the/somebody's boxes,1637,user_list,fixed expression,medium,common,no,medium
tread/walk a tightrope,1638,user_list,fixed expression,medium,common,no,medium
up to par,1639,user_list,fixed/prepositional phrase,easy,very_common,no,high
walk tall,1640,user_list,fixed expression,medium,common,no,medium
within an inch of something/of doing something,1641,user_list,fixed expression,medium,less_common,no,low
you and yours,1642,user_list,formula/discourse,easy,very_common,no,high
be lost on somebody,1643,user_list,fixed expression,medium,common,no,medium
be no picnic,1644,user_list,fixed expression,medium,common,no,medium
give your name to something,1645,user_list,fixed expression,medium,less_common,no,medium
hang/stay loose,1646,user_list,fixed expression,medium,common,no,medium
have a feel for something,1647,user_list,fixed expression,medium,less_common,no,medium
have an eye for something,1648,user_list,fixed expression,medium,less_common,no,medium
have no use for somebody,1649,user_list,fixed expression,medium,less_common,no,medium
have no use for something,1650,user_list,fixed expression,medium,less_common,no,medium
have somebody in the palm of your hand,1651,user_list,multi-word verb,medium,less_common,no,medium
hit the deck,1652,user_list,fixed expression,medium,common,no,medium
in short supply,1653,user_list,fixed/prepositional phrase,easy,very_common,no,high
in the throes of something/of doing something,1654,user_list,fixed expression,medium,less_common,no,low
in your nineties,1655,user_list,fixed/prepositional phrase,easy,very_common,no,high
in/out of pocket,1656,user_list,fixed expression,medium,common,no,medium
knock somebody dead,1657,user_list,fixed expression,medium,common,no,medium
lay a finger on somebody,1658,user_list,idiom,hard,common,no,medium
leave no stone unturned,1659,user_list,idiom,hard,common,no,medium
look down your nose at somebody/something,1660,user_list,multi-word verb,medium,less_common,no,medium
make it snappy,1661,user_list,fixed expression,medium,common,no,medium
make waves,1662,user_list,fixed expression,medium,common,no,medium
nip something in the bud,1663,user_list,fixed expression,medium,less_common,no,medium
no holds barred,1664,user_list,fixed expression,medium,common,no,medium
pay for itself,1665,user_list,fixed expression,medium,common,no,medium
pervert the course of justice,1666,user_list,fixed expression,medium,less_common,no,medium
play it straight,1667,user_list,fixed expression,medium,common,no,medium
pop the question,1668,user_list,fixed expression,medium,common,no,medium
put all your eggs in one basket,1669,user_list,idiom,hard,less_common,no,medium
put something to good use,1670,user_list,multi-word verb,medium,less_common,no,medium
run somebody/something close,1671,user_list,fixed expression,medium,common,no,medium
sell your body,1672,user_list,fixed expression,medium,common,no,medium
set somebody/something on their/its feet,1673,user_list,idiom,hard,common,no,medium
so much the better/worse,1674,user_list,fixed expression,medium,common,no,medium
spread like wildfire,1675,user_list,fixed expression,medium,common,no,medium
stop the clock,1676,user_list,idiom,hard,common,no,medium
strike gold,1677,user_list,fixed expression,medium,common,no,medium
take somebody at their word,1678,user_list,multi-word verb,medium,less_common,no,medium
take something into consideration,1679,user_list,multi-word verb,medium,less_common,no,medium
take something lying down,1680,user_list,fixed expression,medium,common,no,medium
talk shop,1681,user_list,fixed expression,medium,common,no,medium
the letter of the law,1682,user_list,fixed expression,medium,less_common,no,medium
the real McCoy,1683,user_list,fixed expression,medium,common,no,medium
the still of the night,1684,user_list,fixed expression,medium,less_common,no,medium
till the cows come home,1685,user_list,idiom,hard,common,no,medium
tough luck,1686,user_list,fixed expression,medium,common,no,medium
under the knife,1687,user_list,fixed/prepositional phrase,easy,very_common,no,high
watch the world go by,1688,user_list,formula/discourse,medium,common,no,high
what is somebody playing at?,1689,user_list,sentence frame/pattern,medium,common,no,low
when the chips are down,1690,user_list,proverb/saying,hard,less_common,no,medium
wipe/mop the floor with somebody,1691,user_list,fixed expression,medium,less_common,no,medium
with a view to something/to doing something,1692,user_list,fixed expression,medium,less_common,no,low
be on edge,1693,user_list,multi-word verb,medium,common,no,medium
get your wings,1694,user_list,fixed expression,medium,common,no,medium
go off the deep end,1695,user_list,multi-word verb,medium,less_common,no,medium
grab/hit/make the headlines,1696,user_list,fixed expression,medium,common,no,medium
have nothing on somebody,1697,user_list,fixed expression,medium,common,no,medium
have something on the go,1698,user_list,multi-word verb,medium,less_common,no,medium
hold fast to something,1699,user_list,formula/discourse,easy,very_common,no,high
hot on somebody's/something'stracks/trail,1700,user_list,idiom,hard,common,no,medium
in due course,1701,user_list,fixed/prepositional phrase,easy,very_common,no,high
in the not too distant future,1702,user_list,fixed expression,medium,less_common,no,low
keep a/the lid on something,1703,user_list,fixed expression,medium,less_common,no,medium
keep yourself busy,1704,user_list,fixed expression,medium,common,no,medium
lay claim to something,1705,user_list,fixed expression,medium,common,no,medium
lay down the law,1706,user_list,fixed expression,medium,common,no,medium
not a whit,1707,user_list,fixed expression,medium,common,no,medium
not far off/out/wrong,1708,user_list,fixed expression,medium,common,no,medium
off topic,1709,user_list,fixed expression,medium,common,no,medium
on balance,1710,user_list,fixed/prepositional phrase,easy,very_common,no,high
out of sorts,1711,user_list,fixed/prepositional phrase,easy,very_common,no,high
play the field,1712,user_list,idiom,hard,common,no,medium
poke fun at somebody/something,1713,user_list,fixed expression,medium,common,no,medium
pull something/a rabbit out of the hat,1714,user_list,fixed expression,medium,less_common,no,low
pull the wool over somebody's eyes,1715,user_list,idiom,hard,less_common,no,medium
run rings around/round somebody,1716,user_list,fixed expression,medium,common,no,medium
shoot the breeze/bull,1717,user_list,fixed expression,medium,common,no,medium
step into somebody's shoes,1718,user_list,multi-word verb,medium,less_common,no,medium
take it/things one day at a time,1719,user_list,fixed expression,medium,less_common,no,low
take the edge off something,1720,user_list,fixed expression,medium,less_common,no,medium
take your cue from somebody/something,1721,user_list,fixed expression,medium,less_common,no,medium
the die is cast,1722,user_list,fixed expression,medium,common,no,medium
the new normal,1723,user_list,fixed expression,medium,common,no,medium
therein lies...,1724,user_list,sentence frame/pattern,medium,common,no,low
two sides of the same coin,1725,user_list,fixed expression,medium,less_common,no,low
two wrongs don't make a right,1726,user_list,proverb/saying,hard,less_common,no,medium
waste your breath,1727,user_list,fixed expression,medium,common,no,medium
be no laughing matter,1728,user_list,fixed expression,medium,common,no,medium
flex your muscles,1729,user_list,fixed expression,medium,common,no,medium
go from bad to worse,1730,user_list,multi-word verb,medium,less_common,no,medium
hard and fast,1731,user_list,binomial phrase,medium,common,no,medium
have your/somebody's name on it,1732,user_list,fixed expression,medium,less_common,no,medium
ill at ease,1733,user_list,fixed expression,medium,common,no,medium
in good company,1734,user_list,fixed/prepositional phrase,easy,very_common,no,high
in safe hands,1735,user_list,fixed/prepositional phrase,easy,very_common,no,high
knock something on the head,1736,user_list,idiom,hard,common,no,medium
late in the day,1737,user_list,fixed expression,medium,common,no,medium
like a broken record,1738,user_list,fixed expression,medium,common,no,medium
